Community Profile Data by Municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Further explanation on Notes sheet,,,,,,Population Characteristics,,,,,,,,,,,,C&I Properties,General Housing Characteristics,,,,,,Units by Year Structure Built*,,,,,,,,,Units by Structure Type,,,,,,,,,Occupied Housing Units Primary Heating Fuels,,,,,,Means of Transportation to Work,,,,,,,,
Municipality,County,Muni and County,Year,Square Miles,Mun Inde,Population ,% White ,% Black ,"% Asian, Pacific Islander, and Hawaiian ",% Other,% Hispanic or Latino Origin*,Households,Median Household Income,Percent of Population in Poverty,Low and Moderate Income*,NJ DCA MRI Score*,NJ DCA MRI Rank*,Commercial & Industrial Properties  (2018 Tax Data),Total Housing Units*,Total Occupied Housing Units,% Occupied housing units ,% Owner-occupied,% Renter-occupied,<75% Occupied*,2010 or later,2000 to 2009,1990 to 1999,1980 to 1989,1970 to 1979,1960 to 1969,1950 to 1959,1940 to 1949,1939 or earlier,"1-unit, detached","1-unit, attached",2 units,3 or 4 units,5 to 9 units,10 to 19 units,20 or more,Mobile home,"Boat, RV, etc.",Utility gas,Electricity,"Bottled, tank, or LP gas","Fuel oil, kerosene, etc.",Wood,Other or no heating fuel,Total Workers,"Car, truck, or van",Public transport,Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked at home
Aberdeen township,Monmouth,"Aberdeen township, Monmouth",2015,5.6,1,"18,282",75%,12%,7%,7%,9%,"6,808","$84,720",6.7%,,22,326,187,"7,191","6,808",95%,76%,24%,,106,570,596,"1,017",657,"2,473","1,047",373,352,"4,765",587,145,328,295,586,474,0,11,79%,16%,1%,3%,0%,1%,"9,220",84%,11%,1%,0%,0%,1%,0%,3%
Aberdeen township,Monmouth,"Aberdeen township, Monmouth",2020,5.6,1,"18,729",77%,9%,7%,7%,13%,"7,822","$108,132",2.9%,,20,389,187,"8,072","7,822",97%,76%,25%,,685,393,720,"1,006",846,"2,442","1,076",386,518,"5,236",661,200,434,410,558,573,0,0,83%,13%,1%,3%,0%,1%,"10,999",78%,12%,0%,0%,0%,1%,1%,8%
Absecon city,Atlantic,"Absecon city, Atlantic",2015,7.2,2,"8,394",81%,5%,6%,8%,11%,"3,259","$63,656",4.9%,,38,108,188,"3,514","3,259",93%,84%,16%,,29,461,276,422,430,593,823,150,330,"2,595",289,163,58,152,160,80,17,0,77%,14%,0%,7%,0%,2%,"4,118",91%,2%,0%,1%,0%,2%,0%,4%
Absecon city,Atlantic,"Absecon city, Atlantic",2020,7.2,2,"8,471",68%,12%,6%,14%,17%,"3,109","$69,293",9.2%,,38,118,188,"3,542","3,109",88%,79%,21%,,100,404,425,490,293,665,583,123,459,"2,483",427,121,24,136,179,113,59,0,86%,7%,1%,4%,0%,1%,"3,816",91%,6%,0%,0%,0%,0%,0%,3%
Alexandria township,Hunterdon,"Alexandria township, Hunterdon",2015,27.7,3,"4,882",97%,0%,2%,0%,0%,"1,641","$130,262",1.6%,,12,516,36,"1,867","1,641",88%,99%,1%,,0,284,386,193,329,99,136,159,281,"1,818",0,49,0,0,0,0,0,0,0%,4%,36%,56%,4%,1%,"2,593",91%,1%,0%,0%,0%,0%,0%,8%
Alexandria township,Hunterdon,"Alexandria township, Hunterdon",2020,27.7,3,"4,769",98%,0%,2%,0%,1%,"1,766","$127,234",4.4%,,17,439,36,"1,848","1,766",96%,88%,12%,,32,285,427,154,203,169,109,38,431,"1,771",15,0,19,0,0,43,0,0,9%,3%,36%,51%,0%,1%,"2,562",90%,1%,0%,0%,0%,1%,0%,9%
Allamuchy township,Warren,"Allamuchy township, Warren",2015,20.3,4,"4,499",93%,1%,4%,2%,5%,"2,049","$88,802",4.0%,,16,456,19,"2,169","2,049",95%,89%,11%,,0,420,308,608,490,118,29,40,156,877,828,41,87,305,31,0,0,0,76%,4%,5%,12%,1%,2%,"2,367",83%,1%,0%,0%,0%,1%,0%,15%
Allamuchy township,Warren,"Allamuchy township, Warren",2020,20.3,4,"4,640",89%,7%,3%,1%,6%,"2,195","$109,212",1.9%,,18,415,19,"2,247","2,195",98%,87%,13%,,355,351,194,563,596,119,30,0,39,758,"1,067",45,140,203,13,21,0,0,84%,4%,4%,6%,2%,1%,"2,305",86%,1%,0%,0%,0%,0%,0%,13%
Allendale borough,Bergen,"Allendale borough, Bergen",2015,3.1,5,"6,717",84%,1%,12%,2%,5%,"2,211","$140,331",4.0%,,12,515,65,"2,426","2,211",91%,88%,12%,,99,133,200,191,71,747,346,243,396,"1,820",299,59,3,48,0,197,0,0,87%,6%,0%,7%,0%,1%,"2,875",79%,10%,0%,0%,0%,2%,2%,6%
Allendale borough,Bergen,"Allendale borough, Bergen",2020,3.1,5,"6,757",80%,1%,15%,4%,2%,"2,235","$157,958",2.5%,,10,544,65,"2,444","2,235",91%,77%,23%,,140,47,405,207,160,458,520,31,476,"1,662",248,108,24,12,0,390,0,0,91%,4%,1%,4%,0%,0%,"2,907",64%,19%,0%,0%,0%,2%,0%,15%
